brand,name,seller,reviews_rating_number,reviews_amount,old_money,new_money
ASUS,"Notebook ASUS TUF Gaming F15 FX507VV RTX4060 Intel Core i7 13620H 16Gb 512Gb SSD Windows 11 Home Tela 165Hz Nivel IPS 15,6"" FHD Mecha Gray - HQ333W",Por Mercado Livre ,4.9,(8),11.499,9.866
ASUS,Notebook Asus Vivobook Intel Core I5 1235u 16gb 512ssd W11,Por Asus ,,,4.199,3.779
LENOVO,Notebook Lenovo E14 Core I7 10ger 16gb 240ssd Windows 11,Por SLA Informatica ,,,3.199,319
HP,Notebook Hp I5 6ª Geração 16gb Ddr4 Ssd/ Com Garantia E N.f,,4.3,(14),1.695,1.339
LENOVO,"Notebook Ideapad 1i Intel Core i7 1255U, 12GB RAM, 512GB SSD, Linux, Tela 15,6"" HD 82VYS01000",Por Lenovo ,4.8,(4536),3.419,328
ACER,"Notebook Gamer Acer Nitro V15 I7-13620h 13ªGen 8gb 512gb Rtx3050 6gb Linux 15.6"" FHD Preto - Anv15-51-7837",Por Acer Brasil ,3.0,(4),7.999,5.199
,"Notebook Positivo Vision R15 Lumina Bar, Amd Ryzen 7 16gb 512gb, Tela 15 Polegadas Full Hd Antirreflexo, Linux - Preto",Por Positivo ,4.8,(25),3.899,3.099
ACER,Notebook Acer Aspire 3 Ci3 15.6  Uhd 256gb 8gb Debian 64bits,Por Mobcom ,5.0,(1),3.099,2.549
DELL,"Notebook Dell Latitude, Core I7, 16 GB, SSD de 512 GB, 1080p W11 Pro, cor preta",,,,7.611,761
LENOVO,Notebook Lenovo LOQ 15IRX9 Intel Core i5-13450HX RTX 3050 8GB 512GB SSD Windows 11 83KH0001BR Luna Grey,Por Lenovo ,5.0,(1),5.644,542
LENOVO,"Notebook Ideapad 1i Intel Core i7 1255U 16GB RAM 512GB SSD Windows 11 Home Tela 14"" HD 83AF000FBR",Por Lenovo ,4.8,(4536),4.039,388
LENOVO,Notebook Lenovo ThinkBook 14 G6 Intel Core i5-13420H 16GB 512GB SSD Windows 11 - 21NQ000PBR Arctic Grey,Por Lenovo ,,,4.649,446
LENOVO,Chromebook Lenovo 100e Intel Celeron N4500 4gb 32gb,Por Lenovo ,5.0,(7),1.484,143
ASUS,"Notebook Asus Vivobook 15 X1504za Intel Core I5 1235u 16gb Ram 512gb Ssd Linux Keepos Tela 15,60 Fhd Quiet Blue - Nj931",Por Asus ,4.8,(207),3.799,3.309
,"MacBook Air M2 (2022) 13.6"" silver 8GB de Ram - 256GB SSD - Apple M",,4.9,(479),7.315,731
ASUS,"Notebook ASUS Vivobook Go 15 E510KA Intel Celeron Dual Core N4500 4GB Ram 128GB EMMC Windows 11 Home 15,60"" HD Black - BR808WS",Por Asus ,4.1,(17),2.099,1.658
LENOVO,Notebook Lenovo Thinkpad T490 I7 16gb Ssd 256gb 14,,4.4,(5),2.449,244
LENOVO,Notebook Lenovo T490 Core I5-8365u 1.6ghz 16gb Ssd 256gb 14 ,,4.8,(24),1.829,182
, Rhodia QUADRICULADO A5 Capa Laranja 80 folhas  quadriculadas unidade x 1,,,,50,4
,"Notebook Crelander 15,6+7' Tela Double Intel N100 16gb 512gb",,,,6.800,4.488
DELL,Notebook Dell Precision 5550 I7 10a 32ram 500gb Quadro T1000,,,,8.499,849
DELL,Notebook Dell Precision 3581 I7-13800h 32gb 1tb,,,,15.990,1.599
ASUS,Notebook Asus E510ka Intel Celeron Dual Core 4gb 128gb W11,Por Asus ,4.7,(7),2.099,1.742
, Rhodia QUADRICULADO A5 Capa Laranja 80 folhas  quadriculadas unidade x 1,,,,50,4
,"Apple Macbook Pro 13, 2020, Chip M1, 256 Gb Ssd 8gb Ram",,4.3,(7),4.849,484
LENOVO,"Notebook Lenovo Ideapad 1i Celeron N4020 128gb 4gb W11 15,6'",Por 123 Comprou ,5.0,(1),3.665,2.089
LENOVO,Notebook Lenovo Yoga 7x Snapdragon X Elite 32gb 1tb W11,Por Lenovo ,4.0,(1),10.139,974
LENOVO,Notebook Gamer Lenovo Loq-e Ci5-12450 Rtx3050 512gb 16gb W11,Por Mobcom ,,,10.000,5.499
,Tapete Office Mouse Pad Dupla Face Tecido sintético impermeável e antiderrapante Toque macio Geonav Preto E Cinza,,4.8,(26),67,33
,"Notebook Ultra, Com Windows 11 Pro, Tela 14 Pol Ul154i5wpro Cor Preto",Por Loja Multi ,5.0,(1),2.399,239
,"Bloco Rhodia Edição 90 Anos & Paper People 14,6x20,8cm 80fls",,,,54,5
LENOVO,"Notebook Lenovo IdeaPad 1i Intel Core i3-1215U 4GB 256GB SSD Linux 14"" 83AFS00500",Por Lenovo ,4.8,(4536),2.019,194
LENOVO,Notebook Lenovo V14 G4 Intel Core I5 16gb 512gb Ssd W11 14 ,Por Lenovo ,5.0,(2),4.099,3.839
DELL,Laptop Dell Vostro 3401 Core I5 ​​​​de 10ª geração 8 GB 256 GB SSD de 14 polegadas - Excelente (Recondicionado),Por Tech Forte ,,,2.399,239
ASUS,Notebook Asus Zenbook Snapdragon X1 26 100 32gb Ram 1tb W11,Por Asus ,,,9.699,969
HP,Notebook Hp Elitebook 840 G3 Core I5-6300u 8gb Ssd 240gb,,5.0,(1),1.199,119
,"MacBook Air M1 2020 13"" prata 8GB de Ram - 256GB SSD - Apple M - Aceitável (Recondicionado)",Por OTH Produtos ,5.0,(1),3.990,399
ACER,Notebook Acer Core I7 12agen 32gb Nvme 1tb 15.6' Full Hd,Por Facini Informatica ,4.4,(9),4.594,441
,Notebook Vaio Fh15 I7-12650h Rtx 3050 64gb 1tb 15.6 Fullhd Cor Cinza-escuro,Por Vaio ,,,9.959,7.759
,Tapete Office Mouse Pad Dupla Face Tecido sintético impermeável antiderrapante Macio Geonav Preto E Azul,,4.9,(30),39,3
LENOVO,"Notebook Lenovo Yoga Slim 6i Intel Core i5-1240P Evo 16gb 512gb SSD Windows 11 Home Tela 14"" Cor Storm grey 83C70000BR",,4.8,(177),5.206,500
ACER,Notebook Acer Core I5 12th Gen 16gb Nvme 512gb 15.6' Full Hd,Por Facini Informatica ,5.0,(1),3.890,389
,Hub Usb-c 3.2 Multi Dispositivos 4 Portas Aluminio Geonav,,4.3,(12),199,33
LENOVO,Notebook Lenovo V14 Intel Core I5-13420h 16gb 512gb W11 Pro,Por Lenovo ,,,3.949,379
,Positivo Motion N4020 4m Cache Ssd 120gb +64gb Win11 Vitrine,,,,1.349,135
LENOVO,"Ultrabook Lenovo ThinkPad L14 preto 14"", AMD AMD Ryzen 5 PRO 4650U 4650U 8 GB de RAM 256 GB SSD, AMD Radeon Graphics 60 Hz 1366x768px Windows 10 Pro",Por Itotal ,5.0,(5),4.223,3.378
LENOVO,Notebook Ideapad 1 R3 8gb 256gb W11 15.6  82x5000abr,Por Lenovo ,4.7,(47),2.699,2.554
DELL,Notebook Gamer Dell G15-i1300-a20p I5 8gb 512gb 15.6'' W11,,4.8,(440),6.364,611
LENOVO,Notebook Ideapad 1i I3 4gb 256gb Linux 14   Abyss Blue,Por Lenovo ,,,2.299,2.154
LENOVO,Notebook Lenovo V14 G4 Intel Core i5 8gb 256gb Ssd W11 14 83GK000KBR,Por Lenovo ,5.0,(1),3.204,307
DELL,"Notebook gamer G15 I1300 15.6"" preto 32GB de Ram - 1.024TB SSD - Intel Core i5",,5.0,(5),8.290,829
,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,,5.0,(2),14.699,1.469
ACER,Notebook Acer Aspire 5 Ryzen 7 15.6  Radeon 512gb 8gb Linux,Por Mobcom ,4.8,(4),8.558,2.899
LENOVO,"Notebook ThinkPad E14 14"" black 16GB de Ram 256GB SSD Intel Core i5 - Excelente (Recondicionado)",Por Micro Livre ,,,2.977,297
ACER,"Notebook Aspire 5 A514-54 14"" dourado 8GB de Ram - 512GB SSD - Intel Core i3",,,,3.290,329
LENOVO,Notebook Lenovo Lenovo V14 Amd Ryzen 5 8gb 256gb W11,Por Lenovo ,,,2.819,270
,Notebook Intel 4gb 128gb 14.1 Windows 11 Prata Hq Joy Cor Prateado,,4.4,(7),1.599,153
,"Apple Macbook Pro 14 , M4 Max, 36gb Ram, 1tb Ssd - Prateado",Por Apple ,,,45.198,4.519
LENOVO,Notebook Lenovo ThinkBook 14 G6 Intel Core i7-13700H 16GB 512GB SSD Windows 11 - 21NQ000HBR Arctic Grey,Por Lenovo ,,,6.054,581
LENOVO,Notebook Lenovo V14 Intel Core I5 8gb 256gb Ssd W11 Pro 14 ,Por Lenovo ,,,3.554,341
,"Bloco Rhodia Edição 90 Anos & Paper People 8,3x11,8cm 80 Fls",,,,29,2
DELL,"Notebook Inspiron 3511 15.6"" preto 8GB de Ram - 256GB SSD - Intel Core i5",,4.6,(14),3.896,3.467
DELL,Notebook Dell Latitude 3440 Intel Core I3 13th 8gb 256ssd Cor Cinza,,,,4.148,3.691
DELL,Notebook Dell Inspiron 5440 Core 7 150u 16gb 512ssd Mx570a Cor Prateado,,,,6.922,6.160
,Notebook Positivo Vision R15 Ryzen 7 Linux 8gb 512gb Ssd,Por Positivo ,4.5,(16),3.999,2.942
LENOVO,Notebook Lenovo  T440 I5-4300u 8gb Ram 120gb Ssd Nfe,,,,1.199,1.079
LENOVO,Notebook Lenovo Loq 15irx9 Intel Core i7-13650hx 16gb 512gb Ssd Rtx 4050 Windows 11 15.6 - 83kh0003br Luna Grey,Por Lenovo ,5.0,(1),7.499,720
LENOVO,Notebook Lenovo Thinkpad X1 Carbon Intel I7 8650u 16gb 256gb,,5.0,(1),2.815,2.336
,Notebook Dell Latitude Core I7 8ger 16gb Ram 480gb Ssd W11 Cor Preto,,,,3.909,390
LENOVO,"Notebook Lenovo Ideapad 3 R5 8gb 256gb Ssd 15,6'' W11 Cor Prateado",,4.9,(230),120.000,12.245
LENOVO,Notebook Lenovo LOQ-e 15iax9e Intel Core i5-12450hx 16gb 512gb Ssd Rtx 3050 Windows 11 15.6 - 83me0007br Luna Grey,Por Mobcom ,,,9.510,4.799
,"Notebook Positivo Vision i15 Intel Core i5 11ª gen 8GB RAM 512GB SSD, Lumina Bar Windows 11 Home, Tela 15” Full HD Antirreflexo – Cinza",,4.8,(53),3.699,3.123
DELL,Notebook Dell Xps 9320 Cor Cinza,,,,10.808,1.080
DELL,Notebook 2 Em 1 Dell Inspiron 2in1-i150u-m50,,,,5.888,565
LENOVO,"Notebook Lenovo Ideapad 3 R5 8gb 256gb Ssd 15,6'' W11 Cor Prateado",,4.9,(230),120.000,12.245
LENOVO,Notebook Ideapad 1 R3 4gb 256gb W11 Home 15.6  82x5000ebr,Por Lenovo ,4.9,(24),2.399,2.269
HP,Notebook Hp 256r G9 Intel Core I5-1335u 15.6 Hd Intel Uhd Graphics 256gb Ssd 8gb Ram Windows 11 Home 64 Sl- Ay6z4la#ak4,Por HP ,4.8,(58),3.803,3.134
ASUS,Notebook Asus Vivobook Go 15 Intel Celeron 4gb 128gb Wind11,,3.7,(3),1.999,1.899
ACER,Notebook Acer Aspire 5 A514-54-57hc I5 8gb Ssd 512gb 14 Fhd Ips Windows 11 Pro,Por Concordia Informatica ,4.8,(459),4.632,463
LENOVO,Notebook Lenovo Thinkbook 16 Intel Core I7 16gb 512gb W11,Por Lenovo ,,,6.139,590
DELL,Notebook Dell Latitude 3420 Core I7 11ger 16gb 256ssd Win 11,Por SLA Informatica ,5.0,(1),3.999,399
LENOVO,Notebook Lenovo Ideapad 1 R5-7520u 8gb 512gb Ssd Linux 15.6 ,Por Lenovo ,4.8,(18),2.799,2.649
,"Notebook Positivo Vision R15 Lumina Bar Amd Ryzen 5 16gb 512gb, Tela 15 Full Hd Antirreflexo, Linux - Preto",Por Positivo ,4.1,(21),3.899,2.768
LENOVO,Notebook Ideapad 1i I3 4gb 256gb Linux 15.6  82vys00600,Por Lenovo ,4.5,(13),2.399,2.224
LENOVO,Notebook Lenovo E14 Core I7 10ger 16gb 240ssd Windows 11,,,,3.199,319
SAMSUNG,"Notebook Samsung Galaxy Book2 Intel Core I3-1215u 8GB RAM 256GB SSD Windows 11 Home Tela 15,6"" NP550XED-KT3BR",,4.8,(2759),2.999,300
LENOVO,Notebook Lenovo V14 G4 Intel Core I5 8gb 256gb Ssd W11 14 ,Por Lenovo ,,,3.649,3.419
ACER,Notebook Acer Core I5 12agen 12gb Nvme 1tb 15.6' Full Hd,Por Facini Informatica ,5.0,(8),3.990,399
ASUS,"Notebook Gamer ASUS TUF Gaming F15 FX507VU RTX4050 Core i7 13620H 8Gb Ram 512Gb SSD Linux 15,6"" FHD 144Hz Gray LP151",,5.0,(60),8.999,899
,Notebook Positivo Vision C14 Intel® Celeron® Linux 4GB 128GB eMMC 14” HD Lumina BAR – Cinza,,4.6,(3663),1.433,138
DELL,Notebook Latitude 3490 - Core I5 + 8 Gb Ddr4 + 256 Gb Ssd M2,,5.0,(4),1.699,1.495
,Notebook Positivo Master N2240 Core I3 8gb Ddr4 Windows Cor Preto,Por Gigantec ,,,2.425,2.183
,Notebook Vaio Carbon Intel Core I5 10ger 8gb 240ssd 14pol,Por SLA Informatica ,4.7,(3),2.599,259
ASUS,"Notebook Asus Vivobook Go 15 E1504ga Intel Core I3 N305 4gb Ram 128gb Ssd Windows 11 Tela 15,6 Fhd Silver - Nj440w",,4.8,(270),2.599,2.391
LENOVO,Notebook Lenovo V14 G4 Intel Core I5 16gb 512gb Ssd W11 14 ,Por Lenovo ,,,3.594,345
DELL,Notebook Dell Latitude 5420 Core I5g7 16gb 256gb Ssd+ Brinde,,,,2.998,2.668
LENOVO,Notebook Lenovo V14 Amd R5 7520u 8gb 256gb Ssd W11 Pro Preto,Por Lenovo ,,,3.174,305
DELL,Notebook Dell Latitude 3540 Core I5 12° Geração 8 Gb Memória Cor Cinza,,5.0,(1),4.779,459
ASUS,"Notebook Asus Vivobook 15 X1504za-Nj1217 Intel Core I5 1235u 4gb Ram 256gb Ssd Linux Keepos Tela 15,60 Azul",Por Asus ,4.7,(78),2.999,299
ACER,Notebook Acer Core I5 12th Gen 12gb Nvme 512gb 15.6' Full Hd,Por Facini Informatica ,,,3.790,379
LENOVO,Notebook Lenovo LOQ 15irx9 Intel Core i5-13450HX 16gb 512gb SSD RTX 3050 Windows 11 - 83kh0006br Luna Grey,Por Lenovo ,,,6.144,590
LENOVO,Notebook Lenovo Ideapad 1 Intel Core i3 4gb 256gb Ssd Windows 11,Por Lenovo ,4.7,(6),2.249,216
LENOVO,"Notebook Lenovo Ideapad 1i I7 12gb 512gb Ssd 15,6 Cloud Grey",Por Fast Shop ,4.9,(7),4.254,425
ASUS,"Notebook ASUS Vivobook 15 M1502YA AMD Ryzen 7 7730U 16GB Ram 1TB SSD Linux KeepOS 15,6"" FHD Cool Silver NJ493",Por Asus ,,,4.899,4.115
LENOVO,Notebook Lenovo Thinkbook 16 Intel Core I5 16gb 512gb W11,Por Lenovo ,,,6.099,5.709
,Notebook Positivo Master N2240 Intel® Core™ i3-1115G Windows 11 Pro 8GB RAM 256GB SSD 14'' Full HD - Cinza Escuro,,4.1,(41),2.989,2.510
ASUS,Notebook Asus Vivobook 15 Intel Core I5 1235u 8gb 512ssd Fhd,Por Asus ,4.5,(22),3.399,2.889
SAMSUNG,"Notebook Samsung Galaxy Book4 360, 16gb, Intel Core I7, 1tb Ssd, Windows 11 Home, 15.6'' Full Hd Amoled, Np750qgk-kg1br",Por Samsung ,4.7,(82),7.679,767
DELL,Notebook Dell Gamer I7 Gtx 1060 16gb Ddr4 M.2 256gb + Hd 1tb,,,,3.899,389
DELL,Notebook Dell Latitude 3420 Core I7 11th 64gb Ram 1tb Ssd Cor Grafite,,4.7,(22),6.707,670
ASUS,Notebook Gamer Rog Strix G16 G614ji Nvidia Rtx4070 Intel Core I9 13980hx 32gb Ram 1tb Ssd Windows 11 Tela 16 240hz Fhd Gray - N4440w,,4.7,(6),14.274,1.427
ASUS,"Notebook Asus Vivobook 15 M1502ya Amd Ryzen 7 7730u 16gb Ram 512gb Ssd Linux Keepos 15,6 Fhd Cool Silver - Nj495",Por Asus ,5.0,(4),4.499,3.969
LENOVO,"Lenovo Thinkpad I7 8a 8gb Ssd 240gb Tela 12,5 + Mouse Brinde",,,,2.569,1.695
LENOVO,Notebook Lenovo Thinkpad T480 I5 8a 16gb Ssd 240gb + Brinde,,5.0,(3),1.798,1.528
LENOVO,Notebook Lenovo T460s I5 6a Geração - 8gb - Ssd 240gb Oferta,,,,3.399,1.427
DELL,"Notebook Dell Core I7 4,0ghz 16gb Ssd M2 512gb Latitude",Por Canal Eletro ,4.6,(5),3.103,310
HP,Notebook Hp 256r G9 Ci3 15.6  Uhd Graphics 256gb Ssd 8gb W11,Por HP ,5.0,(6),3.299,2.799
,"MacBook Pro A1989 (2019) 13.3"" prata 8GB de Ram - 512GB SSD - Intel Core i5 - Excelente (Recondicionado)",,,,3.999,400
LENOVO,Notebook Lenovo Thinkpad E14 I5 10a 16gb Ssd 240gb + Brinde,,5.0,(2),2.398,1.990
ASUS,"Notebook Gamer ASUS TUF Gaming F15 FX507ZC4 RTX 3050 Intel Core i5 12500H 16Gb Ram 512Gb SSD Linux KeepOS Tela 15,6"" 144Hz Gray - HN232",Por Asus ,4.9,(11),5.799,557
ACER,Notebook Acer Core I5 12th Gen 16gb Nvme 256gb 15.6' Full Hd,Por Facini Informatica ,,,3.790,379
ACER,"Notebook Acer Aspire 5 Intel Core I5 - 12450H 8GB RAM 256GB SSD Windows 11 Home Tela 15,6"" Full HD A515-57-55B8",,4.8,(6294),4.479,3.034
LENOVO,Notebook Lenovo LOQ-e 15iax9e Intel Core i5-12450hx 16gb 512gb Ssd Rtx 3050 Windows 11 15.6 - 83me0007br Luna Grey,Por Mobcom ,,,9.510,4.799
HP,"Notebook HP 256 G9 Intel® Core™ i5 da 12ª geração SSD 256GB 8GB Intel UHD 15,6"" Windows 11",Por INPOWER ,4.8,(519),4.221,3.123
HP, Notebook Hp Probook 640 G2 Core I5 6ª Ger 8gb Ssd 240gb ,,,,1.099,106
,Notebook Core I3-7020u Ssd 240gb Win10 Pro Origin 5g Vitrine,,,,1.598,159
ACER,Chromebook Acer Co731c6nn Intel Celeron 4gb Emmc32gb Chros,,,,1.550,1.285
DELL,Notebook Dell Vostro Core I5 8ª Ger 16gb Ssd 256gb Nvidia,Por Canal Eletro ,,,2.159,215
SAMSUNG,"Notebook Samsung Galaxy Book4, Windows 11 Home, Intel® Core I7, 16gb, 512gb Ssd, 15.6'' Full Hd Led, 1.55 Kg - Grafite",Por Samsung ,4.8,(309),4.998,499
,Lindo Netbook Positivo Intel Atom Em Oferta!!!,,4.7,(3),549,54
LENOVO,Notebook Lenovo T480 Core I5-8ªth 16gb Ssd 240gb Tela Hd Cor Black - Aceitável (Recondicionado),,5.0,(3),1.599,153
SAMSUNG,Notebook Galaxy Book2 intel core i7-1255U 8GB RA SSD 512GB 15.6 Full HD Windows 11 grafite NP550XED-KS2BR,Por Login ,4.8,(550),5.298,4.299
,Macbook Air 15 2024 M3 8/10gpu 16gb Ram 512ssd,,,,12.989,12.339
LENOVO,Notebook Lenovo V14 Amd R5 7520u 8gb 256gb Ssd W11 Pro Preto,Por Lenovo ,,,3.599,3.404
HP,Notebook Hp Pentium Na Promoção!,,,,699,69
ASUS,"Notebook ASUS Vivobook Go E1504GA Intel Core i3 N305 8GB Ram 512GB SSD Windows 11 Tela 15,6"" FHD Silver - NJ435W",Por Fast Shop ,4.9,(545),2.863,286
DELL,Notebook Dell Latitude Intel Core I7 8 Ger 16gb Ssd 512gb,Por Canal Eletro ,3.3,(3),2.499,249
ASUS,"Notebook ASUS TUF Gaming A15 FA506NFR RTX 2050 AMD Ryzen 7 7435HS 16Gb Ram 512Gb SSD Windows 11 Home Tela 144Hz nivel IPS 15,6"" FHD Graphite Black - HN060W",Por Asus ,4.4,(7),5.999,5.319
LENOVO,Notebook Lenovo Thinkbook 14 Intel Core i5 16gb 512gb W11pro,Por Lenovo ,,,5.129,492
,Tapete Grande Office Mouse Pad Preto Caramelo impermeável Dupla Face Geonav,,4.8,(213),49,
,Notebook Intel Core I5 7a Geração 8gb Ddr4 Ssd 240gb Laptop,,,,1.999,1.483
ASUS,"Notebook ASUS Vivobook Go 15 E1504FA AMD Ryzen 3 7320U 4Gb Ram 128Gb SSD Windows 11 Home Tela 15,6 FHD Mixed Black - NJ1364W",,4.9,(34),1.899,182
LENOVO,"Notebook Lenovo V14 Intel Core i5 - 1235U, 8GB RAM, 256GB SSD, Windows 11 Pro, Tela 14"" FHD - 82UL0015BR",,5.0,(6),3.414,341
HP, Notebook Hp Probook 640 G2 Core I5 6ª Ger 8gb Ssd 240gb ,,5.0,(1),1.099,109
LENOVO,Notebook Lenovo V14 Intel Core I7 16gb 512gb Ssd W11 Pro 14 ,Por Lenovo ,,,4.649,446
, Rhodia Katakana 162100K 80 folhas  quadriculadas 1 assuntos unidade x 1 14.8cm x 21cm cor laranja,,,,55,5
,"Notebook 15,6 Pol Intel N95 Gtx1060 8gb Ssd 256gb Windows 11",Por INTERFY ,,,3.040,292
LENOVO,Notebook Lenovo T480 Core I5-8ªth 16gb Ssd 240gb Tela Hd Cor Black - Excelente (Recondicionado),,5.0,(3),1.747,174
ACER,Notebook Acer Core I7 12ªgen 12gb Nvme 1tb 15.6' Full Hd,Por Facini Informatica ,4.0,(4),4.294,412
LENOVO,Notebook Lenovo V14 Intel Core I3-1315u 8gb 256gb W11 Pro,Por Lenovo ,,,3.244,311
ACER,Notebook Gamer Acer Nv 7037 I713ªg 16gb 512ssd Rtx4050 Gutta,Por Acer Brasil ,4.8,(97),6.999,6.199
HP,"Note Hp, Elitebook 840 G6, 14'', Core I5, 8gb, Ssd-256gb",Por OTH Produtos ,5.0,(5),1.890,181
HP,Notebook Hp Probook L8u43av#8gb - I5 - Ssd 256gb,Por Saldao da informatica ,3.7,(6),1.776,170
,"Notebook Vaio Fh15 Intel Core I7 12th 16gb 1tb Ssd Tela 15,6'' Full Hd Antirreflexo, Nvidia Rtx 3050 6gb Shell Efi Cinza Chumbo Vjfh51f11x-b0311h",Por Vaio ,5.0,(3),9.999,6.399
DELL,Notebook Dell I5 6ª Geração/ 8gb /ssd  Promoção Com Garantia,,5.0,(1),1.429,138
LENOVO,Notebook Lenovo Thinkpad E14 I5 8gb 256gb Ssd Windows 11,,3.3,(6),3.999,399
LENOVO,"Notebook Lenovo I7 8a 8gb Ssd 240gb Tela 12,5 + Mouse Brinde",,,,2.199,1.693
,"Notebook Positivo Vision R15 Lumina Bar, Amd Ryzen 5 8gb 256gb, Tela 15 Polegadas Full Hd Antirreflexo, Windows 11 Home Tecla Copilot - Preto",Por Positivo ,4.7,(87),3.999,2.799
,"Bloco Rhodia Edição 90 Anos & Paper People 7,2x10,3cm 80 Fls",,,,24,
LENOVO,"Notebook Gamer Legion 5 Intel Core i7-14650HX 16GB 512GB SSD RTX4060 8GB W11Home 16"" WQXGA 83EW0002BR",Por Lenovo ,,,10.349,994
,"Bloco Rhodia Edição 90 Anos & Paper People 10,3x14,6cm 80fls",,,,34,3
ACER,Notebook Gamer Acer Nitro 5 An517-54-59kr - I5 - Gtx 1650,Por Saldao da informatica ,4.6,(5),4.998,3.898
ACER,Notebook Gamer Nitro V15 Anv15-51-57ws I5 Lx 8gb 512gb Ssd,Por Acer Brasil ,4.8,(312),6.299,4.679
DELL,"Notebook Dell Inspiron Intel Core I5 1235U 12ª Geração 16GB RAM, 512 SSD, Linux, Tela 15.6 Full Hd I15-I120K-U30P",,4.8,(125),4.499,449
,Notebook Vaio Fe 16 Amd Ryzen 7 - 5825u Linux 8gb 512gb Ssd Tela 16 Ips Wuxga Antirreflexo - Cinza Grafite - Vjfe69f11xb0321h,Por Vaio ,,,4.299,3.449
DELL,Notebook Dell Touchscreen Intel Core I5 16gb Ram Ssd 256gb,Por Canal Eletro ,4.6,(5),1.939,186
,"MacBook Air M1 2020 13"" cinza-espacial 8GB de Ram - 256GB SSD - Apple Chip - Excelente (Recondicionado)",,5.0,(1),99.999,10.204
LENOVO,Notebook Lenovo V15 G3 Iap/i5-1235u/8gb/ssd256gb/w11pro,,5.0,(1),3.699,369
ASUS,"Notebook Asus Vivobook 15, Intel® Core I5 1235u, 8gb, 512gb ",Por Fast Shop ,,,3.164,304
ASUS,"Notebook ASUS X515KA Intel Celeron Dual Core N4500 4GB Ram 128GB SSD Windows 11 Home 15,6 HD Grey EJ303WS",,4.7,(325),1.798,172
LENOVO,Notebook Lenovo ThinkBook 14 G6 Intel Core i5-13420H 8GB 256GB SSD Windows 11 - 21NQ000QBR Arctic Grey,Por Lenovo ,,,4.209,404
,"Bloco Rhodia Edição 90 Anos & Paper People 20,8x31,6cm 80fls",,,,99,9
ACER,"Notebook Acer Aspire 5 Intel Core I5 - 12450H 8GB RAM 256GB SSD Windows 11 Home Tela 15,6"" Full HD A515-57-55B8",,4.8,(6294),4.479,3.034
LENOVO,Notebook Lenovo LOQ-e 15iax9e Intel Core i5-12450hx 16gb 512gb Ssd Rtx 3050 Windows 11 15.6 - 83me0007br Luna Grey,Por Mobcom ,,,9.510,4.799
LENOVO,Notebook Lenovo Ideapad 3i Celeron 4gb 128gb Ssd W11 15.6 Cor Prateado,Por 123 Comprou ,4.6,(2096),3.665,2.089
,"Bloco Rhodia Edição 90 Anos & Paper People 20,8x31,6cm 80fls",,,,99,9
DELL,Dell Latitude E7470 Core I5 - 6200 16gb 256gb Ssd - Vitrine,,,,1.599,153
LENOVO,"Notebook Lenovo V15 Intel Core i7-1255u 16gb 512gb SSD Windows 11 Pro 15""",,5.0,(9),8.990,899
,"MacBook Pro MacBook Pro 14"" M3 Pro 14"" space black 18GB de Ram - 512GB SSD - Apple M3",,4.9,(73),13.459,1.293
LENOVO,Notebook Lenovo Thinkpad E14 Amd Ryzen 5 16gb 256gb Wpro 14 ,Por Lenovo ,,,5.579,536
